PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
199,131,0,0,198,1,198
1075,291,0,0,875,1,875
1911,405,0,0,835,1,835
2752,500,0,0,840,1,840
3588,559,0,0,835,1,835
4388,647,0,0,799,1,799
5180,707,0,0,791,1,791
5967,772,0,0,786,1,786
6734,827,0,0,766,1,766
7516,863,0,0,781,1,781
8269,933,0,0,752,1,752
9030,977,0,0,760,1,760
9753,1012,0,0,722,1,722
10489,1035,0,0,735,1,735
11216,1100,0,0,726,1,726
11939,1119,0,0,722,1,722
12662,1136,0,0,722,1,722
13374,1186,0,0,711,1,711
14049,1236,0,0,674,1,674
14726,1213,0,0,676,1,676
15439,1250,0,0,711,1,711
16122,1321,0,0,682,1,682
16776,1336,0,0,653,1,653
17472,1300,0,0,695,1,695
18157,1329,0,0,684,1,684
18816,1336,0,0,657,1,657
19456,1440,0,0,639,1,639
20067,1444,0,0,610,1,610
20691,1448,0,0,623,1,623
21368,1473,1,0,676,1,676
22043,1489,1,0,674,1,674
22646,1580,1,0,601,1,601
23281,1587,1,0,634,1,634
23854,1635,1,0,572,1,572
24418,1656,1,0,563,1,563
24992,1672,1,0,573,1,573
25625,1667,1,0,632,1,632
