PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
729,137,7,0,727.06,1,727.06
1300,188,13,0,570.09,1,570.09
1786,216,17,0,485.75,1,485.75
2241,238,22,0,454.68,1,454.68
2677,271,26,0,435.29,1,435.29
3082,287,30,0,404.86,1,404.86
3502,299,35,0,419.8,1,419.8
3866,319,38,0,363.21,1,363.21
4219,330,42,0,352.97,1,352.97
4575,338,45,0,355.77,1,355.77
4921,362,49,0,345.42,1,345.42
5283,369,52,0,361.5,1,361.5
5629,376,56,0,345.42,1,345.42
5952,391,59,0,322.29,1,322.29
6292,400,62,0,339.95,1,339.95
6638,409,66,0,345.78,1,345.78
6983,402,69,0,344.94,1,344.94
7332,392,73,0,348.22,1,348.22
7670,375,76,0,337.87,1,337.87
8020,329,80,0,349.89,1,349.89
8395,285,83,0,374.95,1,374.95
8819,227,88,0,423.5,1,423.5
9338,153,93,0,518.92,1,518.92
10000,0,100,0,867.6,1,867.6
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
