PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
319,89,3,0,317.14,1,317.14
511,121,5,0,191.01,1,191.01
672,130,6,0,160.78,1,160.78
818,147,8,0,145.11,1,145.11
955,154,9,0,136.39,1,136.39
1083,166,10,0,127.9,1,127.9
1205,174,12,0,121.31,1,121.31
1320,181,13,0,114.44,1,114.44
1429,189,14,0,108.83,1,108.83
1532,198,15,0,102.04,1,102.04
1632,206,16,0,99.73,1,99.73
1729,213,17,0,96.0,1,96.0
1825,214,18,0,95.61,1,95.61
1918,226,19,0,92.52,1,92.52
2008,228,20,0,89.58,1,89.58
2097,238,20,0,88.08,1,88.08
2182,246,21,0,84.46,1,84.46
2266,242,22,0,83.9,1,83.9
2349,252,23,0,82.27,1,82.27
2431,251,24,0,81.5,1,81.5
2510,261,25,0,78.71,1,78.71
2587,262,25,0,76.36,1,76.36
2664,267,26,0,76.9,1,76.9
2741,267,27,0,76.94,1,76.94
2817,267,28,0,75.91,1,75.91
2893,269,28,0,75.76,1,75.76
2969,274,29,0,75.09,1,75.09
3043,273,30,0,73.76,1,73.76
3117,285,31,0,73.27,1,73.27
3189,287,31,0,71.46,1,71.46
3260,293,32,0,70.41,1,70.41
3329,306,33,0,68.2,1,68.2
3396,309,33,0,66.08,1,66.08
3462,303,34,0,65.53,1,65.53
3531,300,35,0,68.09,1,68.09
3600,296,36,0,68.53,1,68.53
3668,308,36,0,67.22,1,67.22
3734,310,37,0,65.72,1,65.72
3800,308,38,0,65.66,1,65.66
3866,311,38,0,65.56,1,65.56
3930,323,39,0,63.68,1,63.68
3993,322,39,0,62.91,1,62.91
4056,324,40,0,62.62,1,62.62
4119,326,41,0,62.88,1,62.88
4182,330,41,0,62.22,1,62.22
4244,340,42,0,61.27,1,61.27
4305,334,43,0,60.22,1,60.22
4367,332,43,0,61.11,1,61.11
4428,342,44,0,60.48,1,60.48
4487,345,44,0,58.78,1,58.78
4546,356,45,0,58.13,1,58.13
4605,345,46,0,58.51,1,58.51
4664,353,46,0,58.57,1,58.57
4722,359,47,0,57.03,1,57.03
4779,363,47,0,56.37,1,56.37
4837,359,48,0,57.09,1,57.09
4894,357,48,0,56.31,1,56.31
4951,360,49,0,56.94,1,56.94
5007,365,50,0,55.71,1,55.71
5063,363,50,0,55.19,1,55.19
5119,366,51,0,55.6,1,55.6
5175,367,51,0,55.36,1,55.36
5231,368,52,0,55.48,1,55.48
5287,374,52,0,55.26,1,55.26
5343,374,53,0,55.28,1,55.28
5398,374,53,0,54.82,1,54.82
5453,374,54,0,54.3,1,54.3
5508,377,55,0,54.68,1,54.68
5563,379,55,0,54.32,1,54.32
5616,385,56,0,52.74,1,52.74
5670,383,56,0,53.1,1,53.1
5723,383,57,0,52.78,1,52.78
5776,389,57,0,52.14,1,52.14
5828,390,58,0,51.27,1,51.27
5881,389,58,0,52.07,1,52.07
5933,395,59,0,51.76,1,51.76
5983,398,59,0,49.26,1,49.26
6038,401,60,0,54.41,2,27.2
6120,414,61,0,81.82,2,40.91
6208,412,62,0,86.22,2,43.11
6294,413,62,0,85.17,2,42.58
6376,416,63,0,80.95,2,40.47
6456,423,64,0,79.52,2,39.76
6536,420,65,0,79.46,2,39.73
6615,418,66,1,78.4,2,39.2
6695,426,66,1,79.54,2,39.77
6773,424,67,1,77.9,2,38.95
6853,422,68,1,78.88,2,39.44
6935,414,69,1,81.09,2,40.55
7019,407,70,3,83.24,2,41.62
7096,414,70,4,75.39,2,37.7
7178,407,71,4,81.07,2,40.54
7263,405,72,5,84.13,2,42.07
7324,395,73,5,60.55,1,60.55
7376,386,73,5,51.62,1,51.62
7430,378,74,5,53.24,1,53.24
7485,383,74,5,54.02,1,54.02
7539,378,75,5,53.11,1,53.11
7594,376,75,5,54.12,1,54.12
7648,375,76,5,53.81,1,53.81
7703,370,77,5,54.56,1,54.56
7758,368,77,5,54.49,1,54.49
7814,366,78,5,55.18,1,55.18
7871,357,78,5,56.68,1,56.68
7930,352,79,5,58.35,1,58.35
7989,345,79,5,58.23,1,58.23
8050,327,80,5,60.66,1,60.66
8114,316,81,5,63.19,1,63.19
8180,306,81,5,65.62,1,65.62
8249,296,82,5,68.16,1,68.16
8320,280,83,5,70.81,1,70.81
8394,278,83,5,73.17,1,73.17
8468,263,84,5,73.96,1,73.96
8547,254,85,5,78.04,1,78.04
8627,242,86,5,79.1,1,79.1
8711,238,87,5,83.68,1,83.68
8797,231,87,5,85.22,1,85.22
8888,214,88,5,90.98,1,90.98
8985,199,89,5,96.78,1,96.78
9090,186,90,5,104.89,1,104.89
9202,176,92,5,111.63,1,111.63
9323,160,93,5,120.57,1,120.57
9456,147,94,5,132.58,1,132.58
9610,120,96,5,153.1,1,153.1
9839,51,98,5,228.55,1,228.55
10000,0,100,5,672.63,1,672.63
10000,0,100,5,0.0,1,0.0
10000,0,100,5,0.0,1,0.0
10000,0,100,5,0.0,1,0.0
10000,0,100,5,0.0,1,0.0
10000,0,100,5,0.0,1,0.0
