PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
146,241,1,0,144.59,1,144.59
216,326,2,0,69.82,1,69.82
272,398,2,0,54.95,1,54.95
317,469,3,0,44.53,1,44.53
358,502,3,0,40.6,1,40.6
397,532,3,0,38.4,1,38.4
433,579,4,0,35.28,1,35.28
466,600,4,0,32.77,1,32.77
498,605,4,0,31.82,1,31.82
530,639,5,0,31.14,1,31.14
559,672,5,0,28.91,1,28.91
588,711,5,0,28.02,1,28.02
615,730,6,0,26.26,1,26.26
641,762,6,0,25.95,1,25.95
667,785,6,0,25.12,1,25.12
692,807,6,0,24.51,1,24.51
716,834,7,0,23.81,1,23.81
740,855,7,0,23.19,1,23.19
763,874,7,0,22.37,1,22.37
785,882,7,0,21.75,1,21.75
807,906,8,0,21.63,1,21.63
828,924,8,0,20.79,1,20.79
849,936,8,0,20.46,1,20.46
870,957,8,0,20.14,1,20.14
890,973,8,0,19.62,1,19.62
910,1005,9,0,19.61,1,19.61
929,1041,9,0,18.61,1,18.61
948,1052,9,0,18.37,1,18.37
966,1071,9,0,17.96,1,17.96
984,1083,9,0,17.84,1,17.84
1002,1100,10,0,17.52,1,17.52
1019,1113,10,0,16.91,1,16.91
1037,1137,10,0,17.06,1,17.06
1054,1147,10,0,16.88,1,16.88
1071,1167,10,0,16.68,1,16.68
1088,1186,10,0,16.27,1,16.27
1105,1196,11,0,16.05,1,16.05
1122,1209,11,0,16.03,1,16.03
1138,1223,11,0,15.82,1,15.82
1154,1233,11,0,15.45,1,15.45
1170,1257,11,0,15.49,1,15.49
1186,1281,11,0,15.08,1,15.08
1202,1310,12,0,15.01,1,15.01
1217,1332,12,0,14.62,1,14.62
1232,1341,12,0,14.47,1,14.47
1247,1358,12,0,14.22,1,14.22
1262,1373,12,0,14.18,1,14.18
1276,1381,12,0,13.74,1,13.74
1291,1390,12,0,14.02,1,14.02
1305,1396,13,0,13.5,1,13.5
1319,1411,13,0,13.65,1,13.65
1333,1420,13,0,13.5,1,13.5
1347,1429,13,0,13.49,1,13.49
1361,1457,13,0,13.41,1,13.41
1375,1473,13,0,13.17,1,13.17
1388,1487,13,0,12.77,1,12.77
1401,1501,14,0,12.88,1,12.88
1414,1512,14,0,12.7,1,12.7
1427,1516,14,0,12.63,1,12.63
1440,1534,14,0,12.57,1,12.57
1453,1541,14,0,12.6,1,12.6
1466,1550,14,0,12.44,1,12.44
1479,1560,14,0,12.36,1,12.36
1492,1565,14,0,12.31,1,12.31
1505,1567,15,0,12.16,1,12.16
1518,1585,15,0,12.38,1,12.38
1531,1599,15,0,12.08,1,12.08
1543,1607,15,0,11.88,1,11.88
1555,1622,15,0,11.89,1,11.89
1567,1621,15,0,11.69,1,11.69
1579,1636,15,0,11.74,1,11.74
1591,1639,15,0,11.6,1,11.6
1603,1655,16,0,11.58,1,11.58
1615,1665,16,0,11.63,1,11.63
1627,1672,16,0,11.46,1,11.46
1639,1678,16,0,11.36,1,11.36
1651,1686,16,0,11.31,1,11.31
1663,1693,16,0,11.38,1,11.38
1675,1687,16,0,11.17,1,11.17
1687,1691,16,0,11.14,1,11.14
1699,1699,16,0,11.28,1,11.28
1710,1705,17,0,10.81,1,10.81
1722,1704,17,0,11.05,1,11.05
1734,1703,17,0,11.19,1,11.19
1745,1707,17,0,10.9,1,10.9
1757,1713,17,0,11.13,1,11.13
1769,1722,17,0,11.05,1,11.05
1781,1726,17,0,11.04,1,11.04
1792,1740,17,0,10.9,1,10.9
1803,1739,18,0,10.88,1,10.88
1814,1746,18,0,10.92,1,10.92
1825,1751,18,0,10.85,1,10.85
1836,1755,18,0,10.67,1,10.67
1847,1759,18,0,10.87,1,10.87
1858,1771,18,0,10.71,1,10.71
1869,1776,18,0,10.74,1,10.74
1880,1787,18,0,10.7,1,10.7
1891,1789,18,0,10.59,1,10.59
1902,1788,19,0,10.55,1,10.55
1913,1791,19,0,10.49,1,10.49
1924,1792,19,0,10.58,1,10.58
1935,1800,19,0,10.51,1,10.51
1946,1805,19,0,10.5,1,10.5
1957,1819,19,0,10.3,1,10.3
1968,1829,19,0,10.35,1,10.35
1979,1835,19,0,10.42,1,10.42
1990,1840,19,0,10.06,1,10.06
2001,1850,20,0,10.24,1,10.24
2012,1856,20,0,10.23,1,10.23
2023,1869,20,0,10.17,1,10.17
2034,1878,20,0,10.26,1,10.26
2045,1888,20,0,10.03,1,10.03
2056,1905,20,0,10.05,1,10.05
2066,1902,20,0,9.88,1,9.88
2077,1912,20,0,10.01,1,10.01
2087,1916,20,0,9.64,1,9.64
2097,1920,20,0,9.72,1,9.72
2107,1932,21,0,9.84,1,9.84
2117,1938,21,0,9.85,1,9.85
2127,1941,21,0,9.78,1,9.78
2137,1945,21,0,9.69,1,9.69
2147,1953,21,0,9.87,1,9.87
2157,1955,21,0,9.41,1,9.41
2167,1961,21,0,9.75,1,9.75
2177,1968,21,0,9.44,1,9.44
2187,1968,21,0,9.63,1,9.63
2197,1968,21,0,9.45,1,9.45
2207,1969,22,0,9.42,1,9.42
2217,1975,22,0,9.44,1,9.44
2227,1985,22,0,9.23,1,9.23
2237,1990,22,0,9.6,1,9.6
2247,1987,22,0,9.41,1,9.41
2257,1991,22,0,9.33,1,9.33
2267,1999,22,0,9.47,1,9.47
2277,2018,22,0,9.5,1,9.5
2287,2027,22,0,9.47,1,9.47
2297,2040,22,0,9.28,1,9.28
2307,2044,23,0,9.33,1,9.33
2317,2056,23,0,9.14,1,9.14
2326,2070,23,0,8.95,1,8.95
2336,2079,23,0,9.17,1,9.17
2346,2093,23,0,9.12,1,9.12
2356,2101,23,0,9.05,1,9.05
2366,2113,23,0,9.04,1,9.04
2375,2112,23,0,8.96,1,8.96
2384,2114,23,0,8.78,1,8.78
2393,2112,23,0,8.83,1,8.83
2402,2118,24,0,8.83,1,8.83
2411,2131,24,0,8.83,1,8.83
2420,2137,24,0,8.92,1,8.92
2429,2145,24,0,8.65,1,8.65
2438,2152,24,0,8.71,1,8.71
2447,2159,24,0,8.74,1,8.74
2456,2164,24,0,8.69,1,8.69
2465,2172,24,0,8.71,1,8.71
2474,2184,24,0,8.93,1,8.93
2483,2187,24,0,8.7,1,8.7
2492,2196,24,0,8.61,1,8.61
2501,2210,25,0,8.78,1,8.78
2510,2225,25,0,8.55,1,8.55
2519,2234,25,0,8.5,1,8.5
2528,2240,25,0,8.53,1,8.53
2537,2249,25,0,8.34,1,8.34
2546,2259,25,0,8.46,1,8.46
2555,2277,25,0,8.49,1,8.49
2564,2285,25,0,8.33,1,8.33
2573,2296,25,0,8.39,1,8.39
2582,2304,25,0,8.18,1,8.18
2591,2310,25,0,8.27,1,8.27
2600,2324,26,0,8.13,1,8.13
2609,2327,26,0,8.32,1,8.32
2618,2341,26,0,8.2,1,8.2
2627,2340,26,0,8.1,1,8.1
2636,2357,26,0,8.01,1,8.01
2645,2375,26,0,8.05,1,8.05
2654,2374,26,0,8.01,1,8.01
2663,2375,26,0,8.06,1,8.06
2672,2382,26,0,8.02,1,8.02
2680,2381,26,0,7.92,1,7.92
2688,2396,26,0,7.97,1,7.97
2696,2407,26,0,7.88,1,7.88
2704,2410,27,0,7.92,1,7.92
2712,2411,27,0,7.99,1,7.99
2720,2413,27,0,7.92,1,7.92
2728,2421,27,0,7.55,1,7.55
2736,2428,27,0,7.76,1,7.76
2744,2433,27,0,7.91,1,7.91
2752,2437,27,0,7.81,1,7.81
2760,2450,27,0,7.84,1,7.84
2768,2453,27,0,7.67,1,7.67
2776,2457,27,0,7.77,1,7.77
2784,2461,27,0,7.71,1,7.71
2792,2470,27,0,7.72,1,7.72
2800,2484,28,0,7.83,1,7.83
2808,2484,28,0,7.63,1,7.63
2816,2490,28,0,7.53,1,7.53
2824,2497,28,0,7.59,1,7.59
2832,2497,28,0,7.5,1,7.5
2840,2499,28,0,7.51,1,7.51
2848,2511,28,0,7.53,1,7.53
2856,2524,28,0,7.6,1,7.6
2864,2531,28,0,7.62,1,7.62
2872,2534,28,0,7.44,1,7.44
2880,2540,28,0,7.51,1,7.51
2888,2555,28,0,7.51,1,7.51
2896,2565,28,0,7.34,1,7.34
2904,2565,29,0,7.35,1,7.35
2912,2576,29,0,7.39,1,7.39
2920,2579,29,0,7.39,1,7.39
2928,2582,29,0,7.31,1,7.31
2936,2586,29,0,7.31,1,7.31
2944,2596,29,0,7.36,1,7.36
2952,2602,29,0,7.24,1,7.24
2960,2602,29,0,7.23,1,7.23
2968,2612,29,0,7.3,1,7.3
2976,2612,29,0,7.25,1,7.25
2984,2616,29,0,7.29,1,7.29
