PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
1015,294,10,0,1013.81,1,1013.81
1959,464,19,0,943.87,1,943.87
2883,555,28,0,923.96,1,923.96
3815,611,38,0,931.38,1,931.38
4712,687,47,0,896.05,1,896.05
5597,736,55,0,884.36,1,884.36
6478,753,64,0,880.82,1,880.82
7408,649,74,0,929.82,1,929.82
8414,477,84,0,1005.46,1,1005.46
9499,280,94,0,1084.69,1,1084.69
10000,0,100,0,1451.37,1,1451.37
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
10000,0,100,0,0.0,1,0.0
