PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
394,530,0,0,391.74,2,195.87
837,894,2,1,440.08,4,110.02
1303,1288,3,5,461.59,6,76.93
1841,1666,4,10,535.06,8,66.88
2410,2091,6,24,563.51,10,56.35
3042,2533,7,34,627.74,12,52.31
3614,2950,9,44,571.82,14,40.84
4184,3321,10,58,563.81,16,35.24
4747,3734,11,74,560.26,18,31.13
5321,4134,13,90,573.92,20,28.7
5918,4571,14,102,596.86,22,27.13
6498,4919,16,118,576.57,24,24.02
7106,5361,17,137,594.73,26,22.87
7717,5758,19,155,610.96,28,21.82
8310,6068,20,171,590.0,30,19.67
8870,6337,22,190,555.95,31,17.93
9499,6678,23,202,619.74,33,18.78
10084,6999,25,221,580.29,35,16.58
10665,7305,26,240,580.98,36,16.14
11197,7659,27,263,510.48,38,13.43
11722,8016,29,276,517.57,40,12.94
12221,8305,30,294,498.7,41,12.16
12710,8556,31,313,468.99,42,11.17
13232,8868,33,333,521.96,44,11.86
13715,9154,34,357,473.12,45,10.51
14205,9447,35,372,468.43,47,9.97
14703,9748,36,396,472.23,48,9.84
15174,9992,37,413,455.69,49,9.3
15650,10206,39,436,474.33,51,9.3
16130,10362,40,454,479.68,51,9.41
16587,10512,41,475,423.95,52,8.15
17037,10629,42,495,425.2,53,8.02
17495,10754,43,514,443.72,53,8.37
17961,10875,44,529,444.97,54,8.24
18426,11006,46,549,464.94,54,8.61
18841,11158,47,575,398.95,55,7.25
19279,11341,48,597,437.72,56,7.82
19692,11464,49,623,411.97,57,7.23
20132,11635,50,640,423.25,58,7.3
20568,11731,51,668,430.1,58,7.42
21021,11818,52,682,423.16,59,7.17
21437,11932,53,703,415.8,59,7.05
21846,11996,54,727,408.79,59,6.93
22249,12074,55,757,381.22,60,6.35
22671,12132,56,778,421.99,60,7.03
23093,12219,57,804,421.76,61,6.91
23481,12236,58,824,387.95,61,6.36
23893,12220,59,857,411.83,61,6.75
24300,12182,60,879,406.95,60,6.78
24704,12162,61,903,380.99,60,6.35
25112,12095,62,920,407.73,60,6.8
25559,11982,63,947,417.98,59,7.08
26001,11863,65,964,441.91,59,7.49
26411,11781,66,979,403.34,58,6.95
26847,11665,67,1007,408.17,58,7.04
27283,11550,68,1033,419.71,57,7.36
27741,11392,69,1055,457.81,57,8.03
28192,11212,70,1085,429.06,56,7.66
28657,10946,71,1115,448.57,54,8.31
29108,10652,72,1146,445.58,53,8.41
29628,10227,74,1172,519.82,51,10.19
30115,9819,75,1196,486.74,49,9.93
30626,9350,76,1218,492.0,46,10.7
31186,8814,77,1243,556.38,44,12.64
31767,8233,79,1267,580.89,41,14.17
32358,7642,80,1292,574.27,38,15.11
32984,7016,82,1318,621.08,35,17.75
33591,6409,83,1340,603.07,32,18.85
34230,5770,85,1362,634.59,28,22.66
34834,5166,87,1376,598.99,25,23.96
35432,4568,88,1399,583.11,22,26.5
36011,3989,90,1428,571.63,19,30.09
36514,3486,91,1452,496.26,17,29.19
37021,2979,92,1464,499.65,14,35.69
37554,2446,93,1479,528.66,12,44.06
38089,1911,95,1492,534.25,9,59.36
38568,1432,96,1506,475.87,7,67.98
39019,981,97,1521,450.8,4,112.7
39423,577,98,1532,402.52,2,201.26
39772,228,99,1532,348.51,1,348.51
40000,0,100,1532,502.32,1,502.32
40000,0,100,1532,0.0,1,0.0
40000,0,100,1532,0.0,1,0.0
40000,0,100,1532,0.0,1,0.0
40000,0,100,1532,0.0,1,0.0
40000,0,100,1532,0.0,1,0.0
