PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0.04,1,0.04
230,154,0,0,228.97,1,228.97
2901,526,1,0,2670.86,1,2670.86
4649,723,1,0,1746.97,1,1746.97
6108,769,2,0,1458.88,1,1458.88
7467,866,2,0,1358.91,1,1358.91
8655,1014,3,0,1187.11,1,1187.11
9771,1054,3,0,1115.3,1,1115.3
10848,1079,4,0,1076.95,1,1076.95
11906,1157,4,0,1057.6,1,1057.6
12893,1202,5,0,986.15,1,986.15
13839,1211,5,0,945.59,1,945.59
14784,1284,5,0,944.23,1,944.23
15676,1324,6,0,891.54,1,891.54
16571,1310,6,0,894.96,1,894.96
17437,1348,6,0,865.37,1,865.37
18273,1400,7,0,835.34,1,835.34
19096,1364,7,0,822.38,1,822.38
19923,1405,7,0,826.99,1,826.99
20742,1444,8,0,818.78,1,818.78
21537,1451,8,0,794.63,1,794.63
22324,1459,8,0,786.94,1,786.94
23102,1554,9,0,777.41,1,777.41
23835,1637,9,0,732.02,1,732.02
24555,1657,9,0,719.1,1,719.1
25242,1726,10,0,686.29,1,686.29
25927,1716,10,0,684.82,1,684.82
26617,1738,10,0,689.67,1,689.67
27288,1786,10,0,670.75,1,670.75
27946,1816,11,0,657.2,1,657.2
28588,1880,11,0,641.55,1,641.55
29214,1906,11,0,625.79,1,625.79
29835,1897,11,0,620.28,1,620.28
30471,1849,12,0,635.97,1,635.97
31114,1864,12,0,642.36,1,642.36
31734,1938,12,0,619.03,1,619.03
32344,1914,12,0,609.81,1,609.81
32961,1953,13,0,616.04,1,616.04
33577,1921,13,0,615.1,1,615.1
34188,1941,13,0,610.98,1,610.98
34794,1947,13,0,605.09,1,605.09
35407,1912,14,0,612.81,1,612.81
36028,1911,14,0,620.76,1,620.76
36642,1936,14,0,613.04,1,613.04
37254,1915,14,0,611.06,1,611.06
37862,1932,15,0,607.76,1,607.76
38452,2067,15,0,589.56,1,589.56
39016,2102,15,0,563.61,1,563.61
39583,2091,15,0,566.95,1,566.95
40148,2104,16,0,564.54,1,564.54
40699,2106,16,0,550.43,1,550.43
41261,2105,16,0,561.57,1,561.57
41818,2157,16,0,556.66,1,556.66
42364,2210,16,0,545.71,1,545.71
42905,2220,17,0,540.35,1,540.35
43439,2215,17,0,533.19,1,533.19
43979,2165,17,0,539.78,1,539.78
44523,2167,17,0,543.5,1,543.5
45074,2144,18,0,550.41,1,550.41
45621,2169,18,0,546.33,1,546.33
46167,2188,18,0,545.45,1,545.45
46704,2217,18,0,536.96,1,536.96
47231,2240,18,0,526.38,1,526.38
47758,2269,19,0,526.14,1,526.14
48279,2274,19,0,520.7,1,520.7
48798,2307,19,0,518.03,1,518.03
49319,2247,19,0,520.16,1,520.16
49845,2285,19,0,525.52,1,525.52
50359,2345,20,0,513.58,1,513.58
50859,2414,20,0,499.07,1,499.07
51351,2417,20,0,491.79,1,491.79
51845,2365,20,0,493.42,1,493.42
52344,2416,20,0,498.31,1,498.31
52836,2414,21,0,491.37,1,491.37
53331,2379,21,0,494.19,1,494.19
53828,2415,21,0,496.2,1,496.2
54320,2413,21,0,491.88,1,491.88
54817,2407,21,0,496.64,1,496.64
55304,2439,22,0,486.5,1,486.5
55790,2439,22,0,485.69,1,485.69
