PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
161,32,3,0,160.99,1,160.99
587,58,14,0,425.25,1,425.25
890,74,21,0,302.18,1,302.18
1140,85,27,0,249.76,1,249.76
1371,90,33,0,230.39,1,230.39
1583,99,38,0,211.83,1,211.83
1783,107,43,0,199.18,1,199.18
1974,108,48,0,190.51,1,190.51
2155,114,52,0,180.11,1,180.11
2333,118,56,0,177.48,1,177.48
2506,124,61,0,172.29,1,172.29
2669,126,65,0,162.6,1,162.6
2824,133,68,0,154.23,1,154.23
2980,132,72,0,155.86,1,155.86
3138,120,76,0,157.46,1,157.46
3307,112,80,0,168.95,1,168.95
3510,89,85,0,202.93,1,202.93
3837,45,93,0,326.94,1,326.94
4096,0,100,0,748.83,1,748.83
4096,0,100,0,0.0,1,0.0
4096,0,100,0,0.0,1,0.0
4096,0,100,0,0.0,1,0.0
4096,0,100,0,0.0,1,0.0
4096,0,100,0,0.0,1,0.0
