PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,8,0,0,0,1,0
657,255,0,0,655,1,655
1252,345,0,0,594,1,594
1796,401,0,0,542,1,542
2331,447,0,0,534,1,534
2832,532,1,0,500,1,500
3313,604,1,0,479,1,479
3773,659,1,0,458,1,458
4220,679,1,0,446,1,446
4672,712,1,0,451,1,451
5129,759,1,0,456,1,456
5590,807,2,0,460,1,460
6042,828,2,0,451,1,451
6517,838,2,0,474,1,474
6961,848,2,0,443,1,443
7392,869,2,0,430,1,430
7823,930,2,0,430,1,430
8228,980,3,0,404,1,404
8642,1018,3,0,413,1,413
9065,1003,3,0,421,1,421
9477,1016,3,0,410,1,410
9889,995,3,0,411,1,411
10325,981,3,0,435,1,435
10713,1104,4,0,387,1,387
11113,1109,4,0,399,1,399
11526,1127,4,0,412,1,412
11945,1132,4,0,417,1,417
12351,1184,4,0,405,1,405
12769,1173,4,0,417,1,417
13159,1224,5,0,388,1,388
13546,1244,5,0,385,1,385
13942,1249,5,0,395,1,395
14355,1252,5,0,412,1,412
14762,1276,5,0,406,1,406
15170,1240,5,0,407,1,407
15573,1278,5,0,402,1,402
15968,1305,6,0,393,1,393
16370,1335,6,0,401,1,401
16745,1368,6,0,373,1,373
17141,1350,6,0,395,1,395
17538,1370,6,0,396,1,396
17950,1389,6,0,410,1,410
18342,1390,6,0,390,1,390
18727,1445,7,0,384,1,384
19125,1456,7,0,397,1,397
19518,1477,7,0,392,1,392
19904,1508,7,0,385,1,385
20285,1513,7,0,380,1,380
20677,1498,7,0,391,1,391
21066,1518,8,0,387,1,387
21461,1488,8,0,394,1,394
21858,1450,8,0,396,1,396
22251,1482,8,0,392,1,392
22637,1548,8,0,385,1,385
23018,1575,8,0,380,1,380
23399,1600,8,0,380,1,380
23766,1597,9,0,366,1,366
24154,1596,9,0,387,1,387
24541,1593,9,0,386,1,386
24912,1604,9,0,369,1,369
25294,1605,9,0,381,1,381
25678,1626,9,0,382,1,382
26037,1676,9,0,358,1,358
26416,1669,10,0,378,1,378
26787,1710,10,0,370,1,370
27150,1747,10,0,362,1,362
27518,1764,10,0,367,1,367
27897,1764,10,0,378,1,378
28285,1692,10,0,387,1,387
28653,1773,10,0,367,1,367
29019,1798,11,0,365,1,365
29379,1793,11,0,359,1,359
29748,1787,11,0,368,1,368
30110,1817,11,0,361,1,361
30482,1796,11,0,371,1,371
30848,1798,11,0,365,1,365
31223,1797,11,0,374,1,374
31588,1857,12,0,363,1,363
31957,1838,12,0,368,1,368
32330,1835,12,0,372,1,372
32694,1849,12,0,363,1,363
33060,1863,12,0,365,1,365
33443,1829,12,0,382,1,382
33828,1861,12,0,384,1,384
34200,1870,13,0,371,1,371
34568,1871,13,0,367,1,367
34933,1936,13,0,364,1,364
35294,1966,13,0,360,1,360
35659,1992,13,0,364,1,364
36014,2001,13,0,354,1,354
36372,1983,13,0,357,1,357
36744,1958,14,0,371,1,371
37102,1974,14,0,357,1,357
37480,1986,14,0,377,1,377
37854,1988,14,0,373,1,373
38224,1985,14,0,369,1,369
38587,2044,14,0,361,1,361
38946,2035,14,0,357,1,357
39308,2024,14,0,361,1,361
39671,2043,15,0,362,1,362
40038,1995,15,0,366,1,366
40392,2034,15,0,353,1,353
40753,2095,15,0,360,1,360
41123,2048,15,0,369,1,369
41488,2046,15,0,364,1,364
41847,2086,15,0,358,1,358
42203,2090,16,0,355,1,355
42577,2068,16,0,373,1,373
42946,2061,16,0,368,1,368
43316,2084,16,0,369,1,369
43674,2074,16,0,357,1,357
