PixelsColored,PixelsAvailable,PercentComplete,TotalCollisions,Rate,WorkerCount,RatePerWorker
1,3,0,0,0.04,1,0.04
243,206,0,0,241.95,1,241.95
444,334,0,0,200.17,1,200.17
665,471,0,1,220.54,2,110.27
913,600,0,6,247.96,3,82.65
1207,783,0,14,291.2,3,97.07
1522,951,0,19,313.97,4,78.49
1877,1136,0,29,354.32,5,70.86
2266,1290,0,33,387.77,6,64.63
2666,1535,1,49,396.34,7,56.62
3106,1764,1,63,438.53,8,54.82
3616,2073,1,90,508.34,10,50.83
4119,2362,1,109,499.6,11,45.42
4597,2549,1,128,477.88,12,39.82
5016,2785,1,141,411.91,13,31.69
5412,2989,2,156,395.99,14,28.28
5802,3192,2,178,389.83,15,25.99
6244,3397,2,196,434.04,16,27.13
6715,3628,2,218,463.29,18,25.74
7188,3858,2,236,459.4,19,24.18
7641,4037,2,264,452.85,20,22.64
8107,4268,3,284,461.81,21,21.99
8573,4484,3,307,457.33,22,20.79
9044,4721,3,329,456.66,23,19.85
9506,4937,3,353,461.82,24,19.24
9986,5124,3,376,464.88,25,18.6
10443,5304,3,392,456.74,26,17.57
10867,5512,4,406,422.08,27,15.63
11353,5758,4,445,472.51,28,16.88
11821,5987,4,467,454.53,29,15.67
12336,6253,4,496,514.7,31,16.6
12784,6427,4,525,447.68,32,13.99
13227,6580,5,550,427.22,32,13.35
13689,6765,5,579,446.27,33,13.52
14133,6965,5,608,426.25,34,12.54
14530,7117,5,630,396.8,35,11.34
14965,7316,5,654,414.52,36,11.51
15379,7536,5,680,407.05,37,11.0
15804,7708,6,706,409.02,38,10.76
16202,7885,6,730,385.24,39,9.88
16608,8050,6,756,387.34,40,9.68
16990,8226,6,775,381.31,41,9.3
17381,8444,6,805,390.78,42,9.3
17791,8595,6,835,409.78,42,9.76
18164,8803,6,860,367.28,44,8.35
18579,8968,7,890,414.57,44,9.42
18990,9139,7,921,398.05,45,8.85
19370,9314,7,951,375.17,46,8.16
19765,9504,7,974,391.63,47,8.33
20166,9684,7,1000,386.14,48,8.04
20571,9846,7,1029,383.54,49,7.83
20986,10033,8,1055,400.92,50,8.02
21402,10209,8,1089,394.78,51,7.74
21791,10353,8,1109,388.98,51,7.63
22175,10542,8,1138,369.77,52,7.11
22570,10716,8,1163,394.13,53,7.44
22971,10882,8,1189,383.22,54,7.1
23374,11092,8,1221,382.82,55,6.96
23780,11243,9,1257,380.68,56,6.8
24180,11420,9,1286,399.77,57,7.01
24560,11615,9,1325,357.57,58,6.17
24935,11790,9,1356,373.62,58,6.44
25310,11985,9,1393,361.68,59,6.13
25701,12156,9,1421,372.37,60,6.21
26094,12333,9,1454,368.1,61,6.03
26492,12534,10,1480,397.63,62,6.41
26844,12724,10,1511,338.95,63,5.38
27218,12882,10,1540,373.81,64,5.84
27577,13002,10,1566,358.95,64,5.61
27926,13163,10,1603,348.76,65,5.37
28283,13291,10,1624,356.68,66,5.4
28651,13455,10,1650,362.38,67,5.41
29029,13621,11,1675,359.59,68,5.29
29414,13822,11,1698,362.05,69,5.25
29791,14052,11,1736,353.78,70,5.05
30179,14190,11,1768,352.34,70,5.03
30564,14366,11,1803,384.69,71,5.42
30900,14552,11,1831,323.99,72,4.5
31263,14689,11,1853,362.87,73,4.97
31641,14829,12,1890,342.56,74,4.63
31994,15003,12,1919,352.82,74,4.77
32338,15133,12,1954,343.83,75,4.58
32682,15278,12,1992,343.72,76,4.52
33022,15417,12,2011,339.93,77,4.41
33378,15539,12,2040,351.02,77,4.56
33736,15682,12,2069,350.76,78,4.5
34089,15824,13,2106,341.61,79,4.32
34454,15993,13,2136,343.19,79,4.34
34809,16135,13,2180,332.85,80,4.16
35180,16284,13,2212,339.59,81,4.19
35550,16410,13,2247,341.12,82,4.16
35930,16592,13,2277,341.3,82,4.16
36301,16719,13,2320,336.47,83,4.05
36676,16830,13,2347,374.71,84,4.46
36984,17006,14,2390,297.49,85,3.5
37348,17157,14,2422,363.73,85,4.28
37687,17264,14,2455,314.07,86,3.65
38032,17455,14,2481,344.64,87,3.96
38385,17619,14,2516,352.93,87,4.06
38721,17808,14,2552,300.66,89,3.38
39058,17954,14,2588,336.77,89,3.78
39395,18081,15,2629,336.75,90,3.74
39725,18241,15,2655,329.78,91,3.62
40048,18434,15,2684,322.73,92,3.51
40374,18532,15,2721,325.7,92,3.54
40698,18652,15,2750,322.2,93,3.46
41039,18769,15,2781,329.5,93,3.54
41383,18929,15,2811,328.82,94,3.5
41723,19065,15,2848,322.36,95,3.39
42063,19228,16,2888,318.26,96,3.32
42416,19383,16,2919,324.88,96,3.38
42755,19510,16,2967,318.67,97,3.29
43104,19650,16,3007,321.14,98,3.28
43461,19792,16,3042,324.04,98,3.31
43818,19915,16,3080,324.87,99,3.28
44166,20049,16,3129,310.99,100,3.11
44521,20220,16,3169,354.95,100,3.55
44791,20320,17,3207,269.87,101,2.67
45142,20459,17,3261,311.07,102,3.05
45503,20578,17,3290,360.95,102,3.54
45794,20696,17,3325,275.88,103,2.68
46142,20838,17,3361,347.69,104,3.34
46453,20931,17,3391,286.41,104,2.75
46790,21033,17,3419,336.81,105,3.21
47123,21188,17,3453,291.32,105,2.77
47444,21375,18,3493,320.94,106,3.03
47774,21485,18,3545,290.33,107,2.71
48091,21610,18,3579,316.66,107,2.96
48422,21710,18,3619,330.74,108,3.06
48735,21887,18,3661,278.81,109,2.56
49053,22034,18,3701,317.69,110,2.89
49372,22126,18,3733,318.48,110,2.9
49690,22228,18,3772,317.64,110,2.89
50004,22348,19,3802,313.87,111,2.83
50318,22483,19,3822,313.57,112,2.8
50628,22605,19,3842,309.72,112,2.77
50925,22758,19,3868,296.89,113,2.63
51222,22883,19,3908,296.57,114,2.6
51518,23020,19,3943,295.6,114,2.59
51816,23149,19,3982,297.58,115,2.59
52096,23263,19,4010,279.5,116,2.41
52388,23375,19,4054,285.48,116,2.46
52706,23511,20,4086,295.93,117,2.53
53019,23634,20,4125,293.66,118,2.49
53332,23777,20,4166,292.86,118,2.48
53646,23895,20,4208,290.76,119,2.44
53962,24024,20,4249,295.34,120,2.46
54280,24169,20,4291,298.04,120,2.48
54600,24294,20,4333,295.93,121,2.45
54922,24393,20,4374,293.97,121,2.43
55241,24535,21,4420,288.4,122,2.36
55569,24660,21,4459,287.26,123,2.34
55890,24802,21,4507,288.11,124,2.32
56226,24932,21,4543,292.66,124,2.36
56555,25068,21,4587,285.16,125,2.28
56895,25206,21,4622,291.98,126,2.32
57238,25317,21,4657,293.9,126,2.33
57567,25462,21,4707,285.63,127,2.25
57896,25594,22,4748,328.99,127,2.59
58137,25694,22,4774,240.77,128,1.88
58471,25820,22,4821,333.83,128,2.61
58702,25897,22,4850,228.38,129,1.77
59026,26074,22,4893,323.73,130,2.49
59283,26196,22,4917,237.07,130,1.82
59592,26301,22,4965,308.91,131,2.36
59850,26444,22,5004,237.11,132,1.8
60161,26576,22,5041,310.61,132,2.35
60446,26635,23,5069,248.54,133,1.87
60741,26761,23,5102,294.8,133,2.22
61034,26896,23,5147,253.75,134,1.89
61342,27012,23,5192,307.71,134,2.3
61624,27155,23,5229,242.44,135,1.8
61926,27289,23,5260,301.53,136,2.22
62217,27420,23,5296,290.84,136,2.14
62484,27535,23,5322,235.93,137,1.72
62766,27629,23,5346,281.62,138,2.04
63047,27762,24,5372,280.73,138,2.03
63336,27864,24,5422,288.64,139,2.08
63590,27956,24,5459,227.28,139,1.64
63867,28036,24,5488,276.72,140,1.98
64148,28159,24,5513,280.53,140,2.0
64424,28266,24,5554,275.93,141,1.96
64702,28383,24,5594,277.47,141,1.97
64966,28483,24,5627,229.31,142,1.61
65233,28590,24,5668,266.89,142,1.88
65502,28717,24,5702,268.78,143,1.88
65768,28857,25,5736,265.78,144,1.85
66042,28950,25,5777,273.44,144,1.9
66309,29041,25,5818,266.72,145,1.84
66575,29148,25,5854,265.75,145,1.83
66839,29228,25,5910,220.48,146,1.51
67107,29321,25,5952,267.91,146,1.84
67367,29408,25,5979,259.58,147,1.77
67616,29522,25,6012,248.34,147,1.69
67870,29623,25,6051,246.05,148,1.66
68135,29698,25,6083,264.9,148,1.79
68397,29813,26,6116,261.45,149,1.75
68668,29917,26,6143,262.62,149,1.76
68929,30020,26,6180,257.39,150,1.72
69188,30135,26,6221,245.27,150,1.64
69444,30255,26,6265,250.18,151,1.66
69709,30359,26,6302,254.2,151,1.68
69967,30481,26,6347,248.76,152,1.64
70234,30593,26,6384,253.01,152,1.66
70499,30714,26,6424,250.05,153,1.63
70765,30847,26,6464,249.5,154,1.62
71040,30937,27,6497,254.39,154,1.65
71313,31067,27,6532,251.85,155,1.62
71581,31154,27,6574,250.57,155,1.62
71855,31262,27,6611,249.83,156,1.6
72128,31348,27,6650,251.47,156,1.61
72398,31482,27,6693,247.66,157,1.58
72673,31587,27,6732,248.17,157,1.58
72948,31676,27,6772,247.57,158,1.57
73214,31770,27,6822,242.72,158,1.54
73492,31894,28,6861,249.18,159,1.57
73765,31978,28,6906,247.14,159,1.55
74038,32107,28,6952,245.05,160,1.53
74316,32256,28,6994,245.54,161,1.53
